seriesID,year,period,value,footnotes,month,date
CEU0500000003,2024,M10,35.41,,10,2024-10-01
CEU0500000003,2024,M09,35.46,,9,2024-09-01
CEU0500000003,2024,M08,35.02,,8,2024-08-01
CEU0500000003,2024,M07,34.93,,7,2024-07-01
CEU0500000003,2024,M06,34.98,,6,2024-06-01
CEU0500000003,2024,M05,34.81,,5,2024-05-01
CEU0500000003,2024,M04,34.86,,4,2024-04-01
CEU0500000003,2024,M03,34.65,,3,2024-03-01
CEU0500000003,2024,M02,34.57,,2,2024-02-01
CEU0500000003,2024,M01,34.64,,1,2024-01-01
CEU0500000003,2023,M12,34.23,,12,2023-12-01
CEU0500000003,2023,M11,34.05,,11,2023-11-01
CEU0500000003,2023,M10,34.24,,10,2023-10-01
CEU0500000003,2023,M09,33.94,,9,2023-09-01
CEU0500000003,2023,M08,33.71,,8,2023-08-01
CEU0500000003,2023,M07,33.92,,7,2023-07-01
CEU0500000003,2023,M06,33.42,,6,2023-06-01
CEU0500000003,2023,M05,33.45,,5,2023-05-01
CEU0500000003,2023,M04,33.76,,4,2023-04-01
CEU0500000003,2023,M03,33.26,,3,2023-03-01
CEU0500000003,2023,M02,33.20,,2,2023-02-01
CEU0500000003,2023,M01,33.40,,1,2023-01-01
CEU0500000003,2022,M12,32.86,,12,2022-12-01
CEU0500000003,2022,M11,32.71,,11,2022-11-01
CEU0500000003,2022,M10,32.87,,10,2022-10-01
CEU0500000003,2022,M09,32.50,,9,2022-09-01
CEU0500000003,2022,M08,32.25,,8,2022-08-01
CEU0500000003,2022,M07,32.20,,7,2022-07-01
CEU0500000003,2022,M06,31.93,,6,2022-06-01
CEU0500000003,2022,M05,32.22,,5,2022-05-01
CEU0500000003,2022,M04,32.05,,4,2022-04-01
CEU0500000003,2022,M03,31.80,,3,2022-03-01
CEU0500000003,2022,M02,31.71,,2,2022-02-01
CEU0500000003,2022,M01,31.96,,1,2022-01-01
CEU0500000003,2021,M12,31.32,,12,2021-12-01
CEU0500000003,2021,M11,31.13,,11,2021-11-01
CEU0500000003,2021,M10,31.08,,10,2021-10-01
CEU0500000003,2021,M09,30.90,,9,2021-09-01
CEU0500000003,2021,M08,30.81,,8,2021-08-01
CEU0500000003,2021,M07,30.49,,7,2021-07-01
CEU0500000003,2021,M06,30.28,,6,2021-06-01
CEU0500000003,2021,M05,30.53,,5,2021-05-01
CEU0500000003,2021,M04,30.31,,4,2021-04-01
CEU0500000003,2021,M03,30.03,,3,2021-03-01
CEU0500000003,2021,M02,30.13,,2,2021-02-01
CEU0500000003,2021,M01,30.06,,1,2021-01-01
CEU0500000003,2020,M12,29.84,,12,2020-12-01
